Categoria,Marca,Modelo,Motor,Versão,Transmissão Velocidades (nº),Ar Cond,Direção Assistida,Combustível
ESPORTIVO,PORSCHE,Boxster,2.5-16V,GTS,DCT-7,S,E,G
ESPORTIVO,PORSCHE,Cayman,2.0-16V,****,DCT-7,S,E-H,G
ESPORTIVO,PORSCHE,Cayman,2.5-16V,S,DCT-7,S,E-H,G
ESPORTIVO,PORSCHE,Cayman,2.5-16V,GTS,DCT-7,S,E,G
ESPORTIVO,PORSCHE,Panamera,3.0-24V,****,DCT-8,S,E-H,G
ESPORTIVO,PORSCHE,Panamera,3.0-24V,4,DCT-8,S,E-H,G
ESPORTIVO,PORSCHE,Panamera,3.0-24V,4 EXE,DCT-8,S,E-H,G
ESPORTIVO,PORSCHE,Panamera,2.9-24V,4S,DCT-8,S,E-H,G
ESPORTIVO,PORSCHE,Panamera,4.0-32V,Turbo,DCT-8,S,E-H,G
ESPORTIVO,PORSCHE,Panamera,4.0-32V,TSEHY,DCT-8,S,E,G
ESPORTIVO,PORSCHE,Panamera,4.0-32V,TSEHS,DCT-8,S,E,G
ESPORTIVO,PORSCHE,Panamera,4.0-32V,TSEHE,DCT-8,S,E,G
ESPORTIVO,PORSCHE,Panamera,2.9-24V,4EHYB,DCT-8,S,E,G
ESPORTIVO,PORSCHE,Panamera,2.9-24V,4EHST,DCT-8,S,E,G
ESPORTIVO,PORSCHE,Panamera,2.9-24V,4EHEX,DCT-8,S,E,G
ESPORTIVO,PORSCHE,Panamera,4.0-32V,T ST,DCT-8,S,E,G
ESPORTIVO,PORSCHE,Panamera,3.0-24V,4 ST,DCT-8,S,E,G
